time,open,high,low,close,tick_volume,spread,real_volume
2020-11-23 16:00:00,1866.98,1868.12,1830.58,1839.53,30489,6,0
2020-11-23 20:00:00,1839.51,1841.0,1835.12,1837.13,6989,5,0
2020-11-24 00:00:00,1836.65,1838.34,1825.77,1827.48,8283,6,0
2020-11-24 04:00:00,1827.48,1828.87,1821.29,1826.42,9779,7,0
2020-11-24 08:00:00,1826.42,1832.83,1823.22,1825.33,10935,5,0
2020-11-24 12:00:00,1825.37,1825.82,1803.97,1805.6,19366,6,0
2020-11-24 16:00:00,1805.6,1808.41,1799.77,1804.87,24902,7,0
2020-11-24 20:00:00,1804.67,1808.58,1803.32,1807.62,5995,8,0
2020-11-25 00:00:00,1807.39,1811.97,1805.02,1810.37,5601,6,0
2020-11-25 04:00:00,1810.37,1810.92,1801.72,1803.97,6659,6,0
2020-11-25 08:00:00,1803.97,1814.97,1803.23,1813.05,9933,6,0
2020-11-25 12:00:00,1813.08,1816.72,1806.23,1814.17,12671,6,0
2020-11-25 16:00:00,1814.17,1817.67,1808.5,1808.58,21627,37,0
2020-11-25 20:00:00,1808.56,1809.43,1803.95,1806.92,12441,37,0
2020-11-26 00:00:00,1806.8,1812.61,1806.41,1811.08,11239,50,0
2020-11-26 04:00:00,1811.09,1812.06,1806.59,1808.41,9852,50,0
2020-11-26 08:00:00,1808.53,1818.24,1808.42,1814.0,14375,37,0
2020-11-26 12:00:00,1814.01,1815.19,1811.02,1814.15,12331,37,0
2020-11-26 16:00:00,1814.14,1814.38,1805.61,1808.86,12603,37,0
2020-11-27 00:00:00,1809.99,1813.6,1808.25,1809.47,9060,50,0
2020-11-27 04:00:00,1809.46,1810.88,1802.69,1809.9,14368,50,0
2020-11-27 08:00:00,1809.95,1811.29,1806.75,1808.35,13950,37,0
2020-11-27 12:00:00,1808.36,1809.53,1774.57,1778.35,24446,37,0
2020-11-27 16:00:00,1778.51,1788.53,1773.71,1787.8,30662,37,0
2020-11-27 20:00:00,1787.78,1788.27,1785.77,1787.38,1360,37,0
2020-11-30 00:00:00,1787.8,1789.67,1780.67,1782.83,16643,50,0
2020-11-30 04:00:00,1782.8,1782.8,1764.26,1770.43,28011,50,0
2020-11-30 08:00:00,1770.47,1783.67,1768.73,1773.85,21087,37,0
2020-11-30 12:00:00,1773.92,1775.35,1764.42,1772.3,21539,37,0
2020-11-30 16:00:00,1772.18,1784.31,1769.29,1777.85,31059,37,0
2020-11-30 20:00:00,1777.86,1781.38,1775.25,1777.49,10624,37,0
2020-12-01 00:00:00,1777.05,1780.57,1775.63,1778.74,9704,50,0
2020-12-01 04:00:00,1778.73,1788.11,1778.73,1786.92,16144,50,0
2020-12-01 08:00:00,1786.97,1795.09,1784.52,1794.88,15058,37,0
2020-12-01 12:00:00,1794.86,1813.22,1794.71,1812.75,21530,37,0
2020-12-01 16:00:00,1812.7,1815.07,1804.82,1812.9,30178,37,0
2020-12-01 20:00:00,1812.9,1817.23,1812.68,1815.33,10218,37,0
2020-12-02 00:00:00,1815.12,1815.36,1810.45,1812.86,11256,50,0
2020-12-02 04:00:00,1812.88,1814.2,1807.32,1809.88,20591,50,0
2020-12-02 08:00:00,1809.89,1827.09,1809.73,1824.91,17884,37,0
2020-12-02 12:00:00,1824.91,1832.26,1812.61,1815.7,23440,37,0
2020-12-02 16:00:00,1815.71,1829.45,1813.68,1825.86,28725,37,0
2020-12-02 20:00:00,1825.86,1831.57,1825.3,1830.58,9908,37,0
2020-12-03 00:00:00,1830.11,1831.66,1825.93,1826.29,10418,50,0
2020-12-03 04:00:00,1826.27,1837.14,1826.21,1834.24,15443,50,0
2020-12-03 08:00:00,1834.21,1843.4,1830.43,1837.74,18338,37,0
2020-12-03 12:00:00,1837.69,1843.85,1834.67,1836.14,21692,37,0
2020-12-03 16:00:00,1836.14,1843.22,1823.64,1837.83,35375,37,0
2020-12-03 20:00:00,1837.8,1842.17,1835.29,1840.88,11100,37,0
2020-12-04 00:00:00,1840.97,1842.53,1837.85,1839.18,8026,50,0
2020-12-04 04:00:00,1839.19,1844.65,1837.84,1838.44,12147,50,0
2020-12-04 08:00:00,1838.45,1844.1,1837.66,1842.07,15138,37,0
2020-12-04 12:00:00,1842.09,1847.68,1833.04,1837.68,18636,37,0
2020-12-04 16:00:00,1837.79,1848.15,1829.03,1834.02,31125,37,0
2020-12-04 20:00:00,1834.04,1839.03,1833.59,1838.51,7091,37,0
2020-12-07 00:00:00,1837.02,1839.26,1832.83,1837.46,16152,50,0
2020-12-07 04:00:00,1837.43,1842.07,1835.93,1841.88,14605,50,0
2020-12-07 08:00:00,1841.95,1842.31,1821.71,1831.66,19082,37,0
2020-12-07 12:00:00,1831.67,1840.04,1827.38,1839.22,19484,37,0
2020-12-07 16:00:00,1839.22,1868.47,1837.87,1865.3,27512,37,0
2020-12-07 20:00:00,1865.38,1865.51,1857.91,1862.93,11459,37,0
2020-12-08 00:00:00,1861.85,1866.26,1860.31,1863.71,12746,50,0
2020-12-08 04:00:00,1863.7,1871.6,1863.39,1867.21,18641,50,0
2020-12-08 08:00:00,1867.28,1869.59,1861.12,1864.39,16875,37,0
2020-12-08 12:00:00,1864.31,1872.49,1860.08,1864.65,21926,37,0
2020-12-08 16:00:00,1864.75,1875.09,1861.78,1872.71,27529,37,0
2020-12-08 20:00:00,1872.68,1873.21,1868.99,1870.68,7644,37,0
2020-12-09 00:00:00,1870.32,1870.84,1865.19,1867.16,10114,50,0
2020-12-09 04:00:00,1867.15,1868.31,1855.43,1858.98,21215,50,0
2020-12-09 08:00:00,1858.94,1866.04,1857.9,1860.76,19386,37,0
2020-12-09 12:00:00,1860.71,1863.99,1851.38,1858.92,25251,37,0
2020-12-09 16:00:00,1858.92,1859.08,1837.11,1841.7,39214,37,0
2020-12-09 20:00:00,1841.7,1841.78,1825.28,1839.31,21508,37,0
2020-12-10 00:00:00,1839.58,1839.82,1833.51,1839.3,16999,50,0
2020-12-10 04:00:00,1839.31,1842.29,1837.87,1839.19,21136,50,0
